Hyperparameters:
N: 5
T: 10
beta: 0.001
sigma: 10000.0
learning_rate: 0.0001
max_iterations: 1000000

Iteration 0/1000000, Loss 0: 0.012650, Loss 1: 0.000001, Total Loss: 0.017941, Learning Rate: 0.00010000
Iteration 5100/1000000, Loss 0: 0.006930, Loss 1: 0.000000, Total Loss: 0.006930, Learning Rate: 0.00010000
Iteration 5200/1000000, Loss 0: 0.006879, Loss 1: 0.000000, Total Loss: 0.006899, Learning Rate: 0.00010000
Iteration 5300/1000000, Loss 0: 0.006828, Loss 1: 0.000000, Total Loss: 0.006840, Learning Rate: 0.00010000
Iteration 5400/1000000, Loss 0: 0.006778, Loss 1: 0.000000, Total Loss: 0.006794, Learning Rate: 0.00010000
Iteration 5500/1000000, Loss 0: 0.006729, Loss 1: 0.000000, Total Loss: 0.006758, Learning Rate: 0.00010000
Iteration 5600/1000000, Loss 0: 0.006680, Loss 1: 0.000000, Total Loss: 0.006704, Learning Rate: 0.00010000
Iteration 5700/1000000, Loss 0: 0.006633, Loss 1: 0.000000, Total Loss: 0.006634, Learning Rate: 0.00010000
Iteration 5800/1000000, Loss 0: 0.006586, Loss 1: 0.000000, Total Loss: 0.006587, Learning Rate: 0.00010000
Iteration 5900/1000000, Loss 0: 0.006539, Loss 1: 0.000000, Total Loss: 0.006563, Learning Rate: 0.00010000
Iteration 6000/1000000, Loss 0: 0.006492, Loss 1: 0.000000, Total Loss: 0.006502, Learning Rate: 0.00010000
Iteration 6100/1000000, Loss 0: 0.006446, Loss 1: 0.000000, Total Loss: 0.006453, Learning Rate: 0.00010000
Iteration 6200/1000000, Loss 0: 0.006401, Loss 1: 0.000000, Total Loss: 0.006418, Learning Rate: 0.00010000
Iteration 6300/1000000, Loss 0: 0.006356, Loss 1: 0.000000, Total Loss: 0.006371, Learning Rate: 0.00010000
Iteration 6400/1000000, Loss 0: 0.006312, Loss 1: 0.000000, Total Loss: 0.006321, Learning Rate: 0.00010000
Iteration 6500/1000000, Loss 0: 0.006268, Loss 1: 0.000000, Total Loss: 0.006271, Learning Rate: 0.00010000
Iteration 6600/1000000, Loss 0: 0.006224, Loss 1: 0.000000, Total Loss: 0.006232, Learning Rate: 0.00010000
Iteration 6700/1000000, Loss 0: 0.006181, Loss 1: 0.000000, Total Loss: 0.006182, Learning Rate: 0.00010000
Iteration 6800/1000000, Loss 0: 0.006138, Loss 1: 0.000000, Total Loss: 0.006141, Learning Rate: 0.00010000
Iteration 6900/1000000, Loss 0: 0.006096, Loss 1: 0.000000, Total Loss: 0.006101, Learning Rate: 0.00010000
Iteration 7000/1000000, Loss 0: 0.006054, Loss 1: 0.000000, Total Loss: 0.006094, Learning Rate: 0.00010000
Iteration 7100/1000000, Loss 0: 0.006012, Loss 1: 0.000000, Total Loss: 0.006028, Learning Rate: 0.00010000
Iteration 7200/1000000, Loss 0: 0.005972, Loss 1: 0.000000, Total Loss: 0.005981, Learning Rate: 0.00010000
Iteration 7300/1000000, Loss 0: 0.005931, Loss 1: 0.000000, Total Loss: 0.005932, Learning Rate: 0.00010000
Iteration 7400/1000000, Loss 0: 0.005891, Loss 1: 0.000000, Total Loss: 0.005895, Learning Rate: 0.00010000
Iteration 7500/1000000, Loss 0: 0.005851, Loss 1: 0.000000, Total Loss: 0.005869, Learning Rate: 0.00010000
Iteration 7600/1000000, Loss 0: 0.005812, Loss 1: 0.000000, Total Loss: 0.005823, Learning Rate: 0.00010000
Iteration 7700/1000000, Loss 0: 0.005773, Loss 1: 0.000000, Total Loss: 0.005807, Learning Rate: 0.00010000
Iteration 7800/1000000, Loss 0: 0.005735, Loss 1: 0.000000, Total Loss: 0.005759, Learning Rate: 0.00010000
Iteration 7900/1000000, Loss 0: 0.005697, Loss 1: 0.000000, Total Loss: 0.005698, Learning Rate: 0.00010000
Iteration 8000/1000000, Loss 0: 0.005659, Loss 1: 0.000000, Total Loss: 0.005711, Learning Rate: 0.00010000
Iteration 8100/1000000, Loss 0: 0.005622, Loss 1: 0.000000, Total Loss: 0.005644, Learning Rate: 0.00010000
Iteration 8200/1000000, Loss 0: 0.005585, Loss 1: 0.000000, Total Loss: 0.005601, Learning Rate: 0.00010000
Iteration 8300/1000000, Loss 0: 0.005549, Loss 1: 0.000000, Total Loss: 0.005616, Learning Rate: 0.00010000
Iteration 8400/1000000, Loss 0: 0.005513, Loss 1: 0.000000, Total Loss: 0.005532, Learning Rate: 0.00010000
Iteration 8500/1000000, Loss 0: 0.005477, Loss 1: 0.000000, Total Loss: 0.005483, Learning Rate: 0.00010000
Iteration 8600/1000000, Loss 0: 0.005442, Loss 1: 0.000000, Total Loss: 0.005452, Learning Rate: 0.00010000
Iteration 8700/1000000, Loss 0: 0.005406, Loss 1: 0.000000, Total Loss: 0.005409, Learning Rate: 0.00010000
Iteration 8800/1000000, Loss 0: 0.005372, Loss 1: 0.000000, Total Loss: 0.005373, Learning Rate: 0.00010000
Iteration 8900/1000000, Loss 0: 0.005338, Loss 1: 0.000000, Total Loss: 0.005344, Learning Rate: 0.00010000
Iteration 9000/1000000, Loss 0: 0.005304, Loss 1: 0.000000, Total Loss: 0.005308, Learning Rate: 0.00010000
Iteration 9100/1000000, Loss 0: 0.005271, Loss 1: 0.000000, Total Loss: 0.005313, Learning Rate: 0.00010000
Iteration 9200/1000000, Loss 0: 0.005237, Loss 1: 0.000000, Total Loss: 0.005240, Learning Rate: 0.00010000
Iteration 9300/1000000, Loss 0: 0.005204, Loss 1: 0.000000, Total Loss: 0.005211, Learning Rate: 0.00010000
Iteration 9400/1000000, Loss 0: 0.005171, Loss 1: 0.000000, Total Loss: 0.005183, Learning Rate: 0.00010000
Iteration 9500/1000000, Loss 0: 0.005139, Loss 1: 0.000000, Total Loss: 0.005153, Learning Rate: 0.00010000
Iteration 9600/1000000, Loss 0: 0.005107, Loss 1: 0.000000, Total Loss: 0.005120, Learning Rate: 0.00010000
Iteration 9700/1000000, Loss 0: 0.005076, Loss 1: 0.000000, Total Loss: 0.005170, Learning Rate: 0.00010000
Iteration 9800/1000000, Loss 0: 0.005045, Loss 1: 0.000000, Total Loss: 0.005052, Learning Rate: 0.00010000
Iteration 9900/1000000, Loss 0: 0.005014, Loss 1: 0.000000, Total Loss: 0.005032, Learning Rate: 0.00010000
Iteration 10000/1000000, Loss 0: 0.004984, Loss 1: 0.000000, Total Loss: 0.004986, Learning Rate: 0.00010000
Iteration 10100/1000000, Loss 0: 0.004953, Loss 1: 0.000000, Total Loss: 0.004971, Learning Rate: 0.00010000
Iteration 10200/1000000, Loss 0: 0.004924, Loss 1: 0.000000, Total Loss: 0.005004, Learning Rate: 0.00010000
Iteration 10300/1000000, Loss 0: 0.004895, Loss 1: 0.000000, Total Loss: 0.004899, Learning Rate: 0.00010000
Iteration 10400/1000000, Loss 0: 0.004866, Loss 1: 0.000000, Total Loss: 0.004868, Learning Rate: 0.00010000
Iteration 10500/1000000, Loss 0: 0.004839, Loss 1: 0.000000, Total Loss: 0.004840, Learning Rate: 0.00010000
Iteration 10600/1000000, Loss 0: 0.004811, Loss 1: 0.000000, Total Loss: 0.004813, Learning Rate: 0.00010000
Iteration 10700/1000000, Loss 0: 0.004784, Loss 1: 0.000000, Total Loss: 0.004791, Learning Rate: 0.00010000
Iteration 10800/1000000, Loss 0: 0.004758, Loss 1: 0.000000, Total Loss: 0.004760, Learning Rate: 0.00010000
Iteration 10900/1000000, Loss 0: 0.004731, Loss 1: 0.000000, Total Loss: 0.004835, Learning Rate: 0.00010000
Iteration 11000/1000000, Loss 0: 0.004704, Loss 1: 0.000000, Total Loss: 0.004721, Learning Rate: 0.00010000
Iteration 11100/1000000, Loss 0: 0.004678, Loss 1: 0.000000, Total Loss: 0.004682, Learning Rate: 0.00010000
Iteration 11200/1000000, Loss 0: 0.004652, Loss 1: 0.000000, Total Loss: 0.004658, Learning Rate: 0.00010000
Iteration 11300/1000000, Loss 0: 0.004627, Loss 1: 0.000000, Total Loss: 0.004649, Learning Rate: 0.00010000
Iteration 11400/1000000, Loss 0: 0.004601, Loss 1: 0.000000, Total Loss: 0.004606, Learning Rate: 0.00010000
Iteration 11500/1000000, Loss 0: 0.004576, Loss 1: 0.000000, Total Loss: 0.004583, Learning Rate: 0.00010000
Iteration 11600/1000000, Loss 0: 0.004551, Loss 1: 0.000000, Total Loss: 0.004552, Learning Rate: 0.00010000
Iteration 11700/1000000, Loss 0: 0.004526, Loss 1: 0.000000, Total Loss: 0.004555, Learning Rate: 0.00010000
Iteration 11800/1000000, Loss 0: 0.004502, Loss 1: 0.000000, Total Loss: 0.004505, Learning Rate: 0.00010000
Iteration 11900/1000000, Loss 0: 0.004477, Loss 1: 0.000000, Total Loss: 0.004487, Learning Rate: 0.00010000
Iteration 12000/1000000, Loss 0: 0.004453, Loss 1: 0.000000, Total Loss: 0.004541, Learning Rate: 0.00010000
Iteration 12100/1000000, Loss 0: 0.004430, Loss 1: 0.000000, Total Loss: 0.004451, Learning Rate: 0.00010000
Iteration 12200/1000000, Loss 0: 0.004406, Loss 1: 0.000000, Total Loss: 0.004533, Learning Rate: 0.00010000
Iteration 12300/1000000, Loss 0: 0.004383, Loss 1: 0.000000, Total Loss: 0.004385, Learning Rate: 0.00010000
Iteration 12400/1000000, Loss 0: 0.004360, Loss 1: 0.000000, Total Loss: 0.004365, Learning Rate: 0.00010000
Iteration 12500/1000000, Loss 0: 0.004338, Loss 1: 0.000000, Total Loss: 0.004382, Learning Rate: 0.00010000
Iteration 12600/1000000, Loss 0: 0.004315, Loss 1: 0.000000, Total Loss: 0.004319, Learning Rate: 0.00010000
Iteration 12700/1000000, Loss 0: 0.004294, Loss 1: 0.000000, Total Loss: 0.004303, Learning Rate: 0.00010000
Iteration 12800/1000000, Loss 0: 0.004272, Loss 1: 0.000000, Total Loss: 0.004277, Learning Rate: 0.00010000
Iteration 12900/1000000, Loss 0: 0.004250, Loss 1: 0.000000, Total Loss: 0.004280, Learning Rate: 0.00010000
Iteration 13000/1000000, Loss 0: 0.004228, Loss 1: 0.000000, Total Loss: 0.004253, Learning Rate: 0.00010000
Iteration 13100/1000000, Loss 0: 0.004207, Loss 1: 0.000000, Total Loss: 0.004215, Learning Rate: 0.00010000
Iteration 13200/1000000, Loss 0: 0.004185, Loss 1: 0.000000, Total Loss: 0.004191, Learning Rate: 0.00010000
Iteration 13300/1000000, Loss 0: 0.004165, Loss 1: 0.000000, Total Loss: 0.004187, Learning Rate: 0.00010000
Iteration 13400/1000000, Loss 0: 0.004144, Loss 1: 0.000000, Total Loss: 0.004235, Learning Rate: 0.00010000
Iteration 13500/1000000, Loss 0: 0.004124, Loss 1: 0.000000, Total Loss: 0.004145, Learning Rate: 0.00010000
Iteration 13600/1000000, Loss 0: 0.004103, Loss 1: 0.000000, Total Loss: 0.004133, Learning Rate: 0.00010000
Iteration 13700/1000000, Loss 0: 0.004085, Loss 1: 0.000000, Total Loss: 0.004128, Learning Rate: 0.00010000
Iteration 13800/1000000, Loss 0: 0.004067, Loss 1: 0.000000, Total Loss: 0.004104, Learning Rate: 0.00010000
Iteration 13900/1000000, Loss 0: 0.004050, Loss 1: 0.000000, Total Loss: 0.004175, Learning Rate: 0.00010000
Iteration 14000/1000000, Loss 0: 0.004032, Loss 1: 0.000000, Total Loss: 0.004035, Learning Rate: 0.00010000
Iteration 14100/1000000, Loss 0: 0.004014, Loss 1: 0.000000, Total Loss: 0.004022, Learning Rate: 0.00010000
Iteration 14200/1000000, Loss 0: 0.003996, Loss 1: 0.000000, Total Loss: 0.003999, Learning Rate: 0.00010000
Iteration 14300/1000000, Loss 0: 0.003978, Loss 1: 0.000000, Total Loss: 0.003984, Learning Rate: 0.00010000
Iteration 14400/1000000, Loss 0: 0.003960, Loss 1: 0.000000, Total Loss: 0.003963, Learning Rate: 0.00010000
Iteration 14500/1000000, Loss 0: 0.003943, Loss 1: 0.000000, Total Loss: 0.003947, Learning Rate: 0.00010000
Iteration 14600/1000000, Loss 0: 0.003926, Loss 1: 0.000000, Total Loss: 0.003979, Learning Rate: 0.00010000
Iteration 14700/1000000, Loss 0: 0.003909, Loss 1: 0.000000, Total Loss: 0.003914, Learning Rate: 0.00010000
Iteration 14800/1000000, Loss 0: 0.003892, Loss 1: 0.000000, Total Loss: 0.003920, Learning Rate: 0.00010000
Iteration 14900/1000000, Loss 0: 0.003875, Loss 1: 0.000000, Total Loss: 0.003947, Learning Rate: 0.00010000
Iteration 15000/1000000, Loss 0: 0.003859, Loss 1: 0.000000, Total Loss: 0.003900, Learning Rate: 0.00010000
Iteration 15100/1000000, Loss 0: 0.003842, Loss 1: 0.000000, Total Loss: 0.003846, Learning Rate: 0.00010000
Iteration 15200/1000000, Loss 0: 0.003826, Loss 1: 0.000000, Total Loss: 0.003836, Learning Rate: 0.00010000
Iteration 15300/1000000, Loss 0: 0.003809, Loss 1: 0.000000, Total Loss: 0.003821, Learning Rate: 0.00010000
Iteration 15400/1000000, Loss 0: 0.003792, Loss 1: 0.000000, Total Loss: 0.003800, Learning Rate: 0.00010000
Iteration 15500/1000000, Loss 0: 0.003776, Loss 1: 0.000000, Total Loss: 0.003792, Learning Rate: 0.00010000
Iteration 15600/1000000, Loss 0: 0.003760, Loss 1: 0.000000, Total Loss: 0.003763, Learning Rate: 0.00010000
Iteration 15700/1000000, Loss 0: 0.003744, Loss 1: 0.000000, Total Loss: 0.003757, Learning Rate: 0.00010000
Iteration 15800/1000000, Loss 0: 0.003728, Loss 1: 0.000000, Total Loss: 0.003732, Learning Rate: 0.00010000
Iteration 15900/1000000, Loss 0: 0.003712, Loss 1: 0.000000, Total Loss: 0.003725, Learning Rate: 0.00010000
Iteration 16000/1000000, Loss 0: 0.003697, Loss 1: 0.000000, Total Loss: 0.003709, Learning Rate: 0.00010000
Iteration 16100/1000000, Loss 0: 0.003681, Loss 1: 0.000000, Total Loss: 0.003684, Learning Rate: 0.00010000
Iteration 16200/1000000, Loss 0: 0.003666, Loss 1: 0.000000, Total Loss: 0.003684, Learning Rate: 0.00010000
Iteration 16300/1000000, Loss 0: 0.003651, Loss 1: 0.000000, Total Loss: 0.003725, Learning Rate: 0.00010000
Iteration 16400/1000000, Loss 0: 0.003635, Loss 1: 0.000000, Total Loss: 0.003664, Learning Rate: 0.00010000
Iteration 16500/1000000, Loss 0: 0.003621, Loss 1: 0.000000, Total Loss: 0.003626, Learning Rate: 0.00010000
Iteration 16600/1000000, Loss 0: 0.003607, Loss 1: 0.000000, Total Loss: 0.003655, Learning Rate: 0.00010000
Iteration 16700/1000000, Loss 0: 0.003593, Loss 1: 0.000000, Total Loss: 0.003641, Learning Rate: 0.00010000
Iteration 16800/1000000, Loss 0: 0.003579, Loss 1: 0.000000, Total Loss: 0.003581, Learning Rate: 0.00010000
Iteration 16900/1000000, Loss 0: 0.003564, Loss 1: 0.000000, Total Loss: 0.003566, Learning Rate: 0.00010000
Iteration 17000/1000000, Loss 0: 0.003550, Loss 1: 0.000000, Total Loss: 0.003578, Learning Rate: 0.00010000
Iteration 17100/1000000, Loss 0: 0.003536, Loss 1: 0.000000, Total Loss: 0.003542, Learning Rate: 0.00010000
Iteration 17200/1000000, Loss 0: 0.003522, Loss 1: 0.000000, Total Loss: 0.003524, Learning Rate: 0.00010000
Iteration 17300/1000000, Loss 0: 0.003508, Loss 1: 0.000000, Total Loss: 0.003520, Learning Rate: 0.00010000
Iteration 17400/1000000, Loss 0: 0.003495, Loss 1: 0.000000, Total Loss: 0.003538, Learning Rate: 0.00010000
Iteration 17500/1000000, Loss 0: 0.003481, Loss 1: 0.000000, Total Loss: 0.003592, Learning Rate: 0.00010000
Iteration 17600/1000000, Loss 0: 0.003468, Loss 1: 0.000000, Total Loss: 0.003473, Learning Rate: 0.00010000
Iteration 17700/1000000, Loss 0: 0.003454, Loss 1: 0.000000, Total Loss: 0.003456, Learning Rate: 0.00010000
Iteration 17800/1000000, Loss 0: 0.003441, Loss 1: 0.000000, Total Loss: 0.003462, Learning Rate: 0.00010000
Iteration 17900/1000000, Loss 0: 0.003428, Loss 1: 0.000000, Total Loss: 0.003447, Learning Rate: 0.00010000
Iteration 18000/1000000, Loss 0: 0.003415, Loss 1: 0.000000, Total Loss: 0.003417, Learning Rate: 0.00010000
Iteration 18100/1000000, Loss 0: 0.003402, Loss 1: 0.000000, Total Loss: 0.003519, Learning Rate: 0.00010000
Iteration 18200/1000000, Loss 0: 0.003389, Loss 1: 0.000000, Total Loss: 0.003402, Learning Rate: 0.00010000
Iteration 18300/1000000, Loss 0: 0.003376, Loss 1: 0.000000, Total Loss: 0.003385, Learning Rate: 0.00010000
Iteration 18400/1000000, Loss 0: 0.003364, Loss 1: 0.000000, Total Loss: 0.003376, Learning Rate: 0.00010000
Iteration 18500/1000000, Loss 0: 0.003351, Loss 1: 0.000000, Total Loss: 0.003381, Learning Rate: 0.00010000
Iteration 18600/1000000, Loss 0: 0.003339, Loss 1: 0.000000, Total Loss: 0.003471, Learning Rate: 0.00010000
Iteration 18700/1000000, Loss 0: 0.003326, Loss 1: 0.000000, Total Loss: 0.003343, Learning Rate: 0.00010000
Iteration 18800/1000000, Loss 0: 0.003314, Loss 1: 0.000000, Total Loss: 0.003376, Learning Rate: 0.00010000
Iteration 18900/1000000, Loss 0: 0.003302, Loss 1: 0.000000, Total Loss: 0.003303, Learning Rate: 0.00010000
Iteration 19000/1000000, Loss 0: 0.003291, Loss 1: 0.000000, Total Loss: 0.003295, Learning Rate: 0.00010000
Iteration 19100/1000000, Loss 0: 0.003280, Loss 1: 0.000000, Total Loss: 0.003292, Learning Rate: 0.00010000
Iteration 19200/1000000, Loss 0: 0.003269, Loss 1: 0.000000, Total Loss: 0.003280, Learning Rate: 0.00010000
Iteration 19300/1000000, Loss 0: 0.003258, Loss 1: 0.000000, Total Loss: 0.003263, Learning Rate: 0.00010000
Iteration 19400/1000000, Loss 0: 0.003247, Loss 1: 0.000000, Total Loss: 0.003310, Learning Rate: 0.00010000
Iteration 19500/1000000, Loss 0: 0.003237, Loss 1: 0.000000, Total Loss: 0.003294, Learning Rate: 0.00010000
Iteration 19600/1000000, Loss 0: 0.003227, Loss 1: 0.000000, Total Loss: 0.003228, Learning Rate: 0.00010000
Iteration 19700/1000000, Loss 0: 0.003217, Loss 1: 0.000000, Total Loss: 0.003221, Learning Rate: 0.00010000
Iteration 19800/1000000, Loss 0: 0.003206, Loss 1: 0.000000, Total Loss: 0.003234, Learning Rate: 0.00010000
Iteration 19900/1000000, Loss 0: 0.003196, Loss 1: 0.000000, Total Loss: 0.003210, Learning Rate: 0.00010000
Iteration 20000/1000000, Loss 0: 0.003186, Loss 1: 0.000000, Total Loss: 0.003334, Learning Rate: 0.00010000
Iteration 20100/1000000, Loss 0: 0.003175, Loss 1: 0.000000, Total Loss: 0.003217, Learning Rate: 0.00010000
Iteration 20200/1000000, Loss 0: 0.003165, Loss 1: 0.000000, Total Loss: 0.003170, Learning Rate: 0.00010000
Iteration 20300/1000000, Loss 0: 0.003154, Loss 1: 0.000000, Total Loss: 0.003212, Learning Rate: 0.00010000
Iteration 20400/1000000, Loss 0: 0.003143, Loss 1: 0.000000, Total Loss: 0.003152, Learning Rate: 0.00010000
Iteration 20500/1000000, Loss 0: 0.003133, Loss 1: 0.000000, Total Loss: 0.003148, Learning Rate: 0.00010000
Iteration 20600/1000000, Loss 0: 0.003123, Loss 1: 0.000000, Total Loss: 0.003133, Learning Rate: 0.00010000
Iteration 20700/1000000, Loss 0: 0.003112, Loss 1: 0.000000, Total Loss: 0.003241, Learning Rate: 0.00010000
Iteration 20800/1000000, Loss 0: 0.003102, Loss 1: 0.000000, Total Loss: 0.003107, Learning Rate: 0.00010000
Iteration 20900/1000000, Loss 0: 0.003092, Loss 1: 0.000000, Total Loss: 0.003098, Learning Rate: 0.00010000
Iteration 21000/1000000, Loss 0: 0.003082, Loss 1: 0.000000, Total Loss: 0.003089, Learning Rate: 0.00010000
Iteration 21100/1000000, Loss 0: 0.003072, Loss 1: 0.000000, Total Loss: 0.003108, Learning Rate: 0.00010000
Iteration 21200/1000000, Loss 0: 0.003062, Loss 1: 0.000000, Total Loss: 0.003081, Learning Rate: 0.00010000
Iteration 21300/1000000, Loss 0: 0.003052, Loss 1: 0.000000, Total Loss: 0.003084, Learning Rate: 0.00010000
Iteration 21400/1000000, Loss 0: 0.003042, Loss 1: 0.000000, Total Loss: 0.003047, Learning Rate: 0.00010000
Iteration 21500/1000000, Loss 0: 0.003033, Loss 1: 0.000000, Total Loss: 0.003037, Learning Rate: 0.00010000
Iteration 21600/1000000, Loss 0: 0.003023, Loss 1: 0.000000, Total Loss: 0.003037, Learning Rate: 0.00010000
Iteration 21700/1000000, Loss 0: 0.003013, Loss 1: 0.000000, Total Loss: 0.003027, Learning Rate: 0.00010000
Iteration 21800/1000000, Loss 0: 0.003004, Loss 1: 0.000000, Total Loss: 0.003058, Learning Rate: 0.00010000
Iteration 21900/1000000, Loss 0: 0.002994, Loss 1: 0.000000, Total Loss: 0.003053, Learning Rate: 0.00010000
Iteration 22000/1000000, Loss 0: 0.002984, Loss 1: 0.000000, Total Loss: 0.002992, Learning Rate: 0.00010000
Iteration 22100/1000000, Loss 0: 0.002975, Loss 1: 0.000000, Total Loss: 0.003004, Learning Rate: 0.00010000
Iteration 22200/1000000, Loss 0: 0.002966, Loss 1: 0.000000, Total Loss: 0.002991, Learning Rate: 0.00010000
